[stage A] ep 7 step 150/625 loss 0.2873 det 0.1237 da 0.0908 lane 0.0728 budget 0.0000  117ms/step
[stage A] ep 7 step 200/625 loss 0.2866 det 0.1236 da 0.0900 lane 0.0730 budget 0.0000  116ms/step
[stage A] ep 7 step 250/625 loss 0.2861 det 0.1234 da 0.0892 lane 0.0735 budget 0.0000  116ms/step
[stage A] ep 7 step 300/625 loss 0.2859 det 0.1232 da 0.0891 lane 0.0736 budget 0.0000  116ms/step
[stage A] ep 7 step 350/625 loss 0.2859 det 0.1231 da 0.0893 lane 0.0736 budget 0.0000  116ms/step
[stage A] ep 7 step 400/625 loss 0.2861 det 0.1231 da 0.0895 lane 0.0735 budget 0.0000  116ms/step
[stage A] ep 7 step 450/625 loss 0.2868 det 0.1232 da 0.0898 lane 0.0738 budget 0.0000  117ms/step
[stage A] ep 7 step 500/625 loss 0.2867 det 0.1231 da 0.0901 lane 0.0735 budget 0.0000  118ms/step
[stage A] ep 7 step 550/625 loss 0.2864 det 0.1230 da 0.0900 lane 0.0734 budget 0.0000  119ms/step
[stage A] ep 7 step 600/625 loss 0.2862 det 0.1230 da 0.0898 lane 0.0734 budget 0.0000  120ms/step
[stage A] ep 7 DONE avg_loss=0.2861 saved experiments/expF_single_teacher/no_kd_10k10/checkpoint.pt
[stage A] ep 8 step 50/625 loss 0.2796 det 0.1215 da 0.0869 lane 0.0712 budget 0.0000  136ms/step
[stage A] ep 8 step 100/625 loss 0.2812 det 0.1214 da 0.0874 lane 0.0724 budget 0.0000  131ms/step
[stage A] ep 8 step 150/625 loss 0.2810 det 0.1217 da 0.0872 lane 0.0721 budget 0.0000  130ms/step
[stage A] ep 8 step 200/625 loss 0.2817 det 0.1217 da 0.0881 lane 0.0720 budget 0.0000  129ms/step
[stage A] ep 8 step 250/625 loss 0.2819 det 0.1217 da 0.0880 lane 0.0721 budget 0.0000  129ms/step
[stage A] ep 8 step 300/625 loss 0.2826 det 0.1216 da 0.0888 lane 0.0721 budget 0.0000  129ms/step
[stage A] ep 8 step 350/625 loss 0.2826 det 0.1217 da 0.0889 lane 0.0720 budget 0.0000  129ms/step
[stage A] ep 8 step 400/625 loss 0.2831 det 0.1217 da 0.0891 lane 0.0723 budget 0.0000  128ms/step
[stage A] ep 8 step 450/625 loss 0.2829 det 0.1216 da 0.0888 lane 0.0724 budget 0.0000  129ms/step
[stage A] ep 8 step 500/625 loss 0.2834 det 0.1217 da 0.0893 lane 0.0724 budget 0.0000  129ms/step
[stage A] ep 8 step 550/625 loss 0.2833 det 0.1217 da 0.0892 lane 0.0725 budget 0.0000  129ms/step
[stage A] ep 8 step 600/625 loss 0.2827 det 0.1216 da 0.0888 lane 0.0723 budget 0.0000  129ms/step
[stage A] ep 8 DONE avg_loss=0.2824 saved experiments/expF_single_teacher/no_kd_10k10/checkpoint.pt
[stage A] ep 9 step 50/625 loss 0.2764 det 0.1199 da 0.0838 lane 0.0726 budget 0.0000  138ms/step
[stage A] ep 9 step 100/625 loss 0.2742 det 0.1202 da 0.0815 lane 0.0724 budget 0.0000  130ms/step
[stage A] ep 9 step 150/625 loss 0.2735 det 0.1209 da 0.0812 lane 0.0715 budget 0.0000  127ms/step
[stage A] ep 9 step 200/625 loss 0.2732 det 0.1209 da 0.0807 lane 0.0716 budget 0.0000  125ms/step
[stage A] ep 9 step 250/625 loss 0.2724 det 0.1206 da 0.0809 lane 0.0709 budget 0.0000  124ms/step
[stage A] ep 9 step 300/625 loss 0.2722 det 0.1205 da 0.0809 lane 0.0708 budget 0.0000  123ms/step
[stage A] ep 9 step 350/625 loss 0.2722 det 0.1205 da 0.0813 lane 0.0704 budget 0.0000  122ms/step
[stage A] ep 9 step 400/625 loss 0.2729 det 0.1205 da 0.0818 lane 0.0707 budget 0.0000  121ms/step
[stage A] ep 9 step 450/625 loss 0.2734 det 0.1206 da 0.0819 lane 0.0709 budget 0.0000  121ms/step
[stage A] ep 9 step 500/625 loss 0.2735 det 0.1205 da 0.0823 lane 0.0708 budget 0.0000  121ms/step
[stage A] ep 9 step 550/625 loss 0.2733 det 0.1205 da 0.0822 lane 0.0706 budget 0.0000  121ms/step
[stage A] ep 9 step 600/625 loss 0.2734 det 0.1205 da 0.0825 lane 0.0704 budget 0.0000  120ms/step
[stage A] ep 9 DONE avg_loss=0.2736 saved experiments/expF_single_teacher/no_kd_10k10/checkpoint.pt
[stage A] ep 10 step 50/625 loss 0.2732 det 0.1195 da 0.0857 lane 0.0680 budget 0.0000  125ms/step
[stage A] ep 10 step 100/625 loss 0.2704 det 0.1196 da 0.0818 lane 0.0690 budget 0.0000  122ms/step
[stage A] ep 10 step 150/625 loss 0.2695 det 0.1197 da 0.0799 lane 0.0699 budget 0.0000  120ms/step
[stage A] ep 10 step 200/625 loss 0.2690 det 0.1195 da 0.0798 lane 0.0698 budget 0.0000  119ms/step
[stage A] ep 10 step 250/625 loss 0.2687 det 0.1197 da 0.0799 lane 0.0692 budget 0.0000  119ms/step
[stage A] ep 10 step 300/625 loss 0.2693 det 0.1196 da 0.0806 lane 0.0691 budget 0.0000  119ms/step
[stage A] ep 10 step 350/625 loss 0.2693 det 0.1196 da 0.0806 lane 0.0691 budget 0.0000  119ms/step
[stage A] ep 10 step 400/625 loss 0.2695 det 0.1197 da 0.0806 lane 0.0692 budget 0.0000  119ms/step
[stage A] ep 10 step 450/625 loss 0.2692 det 0.1197 da 0.0804 lane 0.0692 budget 0.0000  119ms/step
[stage A] ep 10 step 500/625 loss 0.2691 det 0.1195 da 0.0803 lane 0.0693 budget 0.0000  118ms/step
[stage A] ep 10 step 550/625 loss 0.2691 det 0.1194 da 0.0803 lane 0.0693 budget 0.0000  118ms/step
[stage A] ep 10 step 600/625 loss 0.2690 det 0.1194 da 0.0803 lane 0.0693 budget 0.0000  118ms/step
[stage A] ep 10 DONE avg_loss=0.2689 saved experiments/expF_single_teacher/no_kd_10k10/checkpoint.pt
