[train] init from experiments/expI_kd_dynamic/fairD_C/checkpoint.pt: loaded 261/261 keys missing=0 unexpected=0
[train] stage=D adaptive=True params=0.235M
/home/mycode/ai_study/trac/training/train.py:138: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  running[k] = running.get(k, 0.0) + float(v)
[stage D] ep 1 step 3250/4366 loss 0.2347 det 0.1075 da 0.0610 lane 0.0576 budget 0.0086  145ms/step
[stage D] ep 1 step 3300/4366 loss 0.2345 det 0.1075 da 0.0610 lane 0.0576 budget 0.0085  145ms/step
[stage D] ep 1 step 3350/4366 loss 0.2344 det 0.1074 da 0.0610 lane 0.0576 budget 0.0084  145ms/step
[stage D] ep 1 step 3400/4366 loss 0.2342 det 0.1074 da 0.0610 lane 0.0575 budget 0.0083  146ms/step
[stage D] ep 1 step 3450/4366 loss 0.2341 det 0.1074 da 0.0610 lane 0.0575 budget 0.0082  146ms/step
[stage D] ep 1 step 3500/4366 loss 0.2340 det 0.1074 da 0.0611 lane 0.0575 budget 0.0080  146ms/step
[stage D] ep 1 step 3550/4366 loss 0.2339 det 0.1074 da 0.0610 lane 0.0575 budget 0.0079  146ms/step
[stage D] ep 1 step 3600/4366 loss 0.2338 det 0.1074 da 0.0610 lane 0.0575 budget 0.0078  146ms/step
[stage D] ep 1 step 3650/4366 loss 0.2336 det 0.1074 da 0.0610 lane 0.0575 budget 0.0077  146ms/step
[stage D] ep 1 step 3700/4366 loss 0.2335 det 0.1074 da 0.0610 lane 0.0575 budget 0.0076  146ms/step
[stage D] ep 1 step 3750/4366 loss 0.2334 det 0.1073 da 0.0610 lane 0.0575 budget 0.0075  146ms/step
[stage D] ep 1 step 3800/4366 loss 0.2333 det 0.1073 da 0.0610 lane 0.0575 budget 0.0074  146ms/step
